veri,sehir,secmen,oy,gecerli_oy,sira,parti,alinan_bel,aday,oran,oy_2019,oran_2019,ilce
belediye başkanlığı alınan ilçeler,AĞRI BELEDİYESİ,,16.747,,2.0,AK PARTI,3,,,,,
belediye başkanlığı alınan ilçeler,AĞRI BELEDİYESİ,,2.341,,3.0,YENIDEN REFAH,1,,,,,
belediye başkanlığı,AĞRI BELEDİYESİ,,25.374,,1.0,DEM PARTI,,HAZAL ARAS,%51.07,17.240,%37.13,
belediye başkanlığı,AĞRI BELEDİYESİ,,16.747,,2.0,AK PARTI,,MEHMET SALİH AYDIN,%33.70,25.799,%55.57,
belediye başkanlığı,AĞRI BELEDİYESİ,,2.341,,3.0,YENIDEN REFAH,,MEHMETŞAFİ ERİM,%4.71,0,%0.00,
belediye başkanlığı,AĞRI BELEDİYESİ,,1.278,,4.0,CHP,,ERKAN BULUT,%2.57,892,%1.92,
belediye başkanlığı,AĞRI BELEDİYESİ,,1.051,,5.0,HÜDA PAR,,MUHAMMET ARİF YILMAZ,%2.12,0,%0.00,
belediye başkanlığı,AĞRI BELEDİYESİ,,729,,6.0,ZAFER PARTISI,,BEYCAN TANIRĞAN,%1.47,0,%0.00,
belediye başkanlığı,AĞRI BELEDİYESİ,,513,,7.0,İYI PARTI,,METİN AYDEMİR,%1.03,1.227,%2.64,
belediye başkanlığı,AĞRI BELEDİYESİ,,463,,8.0,GELECEK PARTISI,,MURAT GÖK,%0.93,0,%0.00,
belediye başkanlığı,AĞRI BELEDİYESİ,,368,,9.0,DEVA PARTISI,,AYTEN ERAT,%0.74,0,%0.00,
belediye başkanlığı,AĞRI BELEDİYESİ,,294,,10.0,BÜYÜK BIRLIK,,AYHAN KESKİN,%0.59,0,%0.00,
belediye başkanlığı,AĞRI BELEDİYESİ,,141,,11.0,TKP,,SEDAT ŞAHBAL,%0.28,64,%0.14,
belediye başkanlığı,AĞRI BELEDİYESİ,,112,,12.0,BTP,,ŞAHİN BOZDOĞAN,%0.23,57,%0.12,
belediye başkanlığı,AĞRI BELEDİYESİ,,85,,13.0,HAK-PAR,,MEHMET ŞİRİN TİMUR,%0.17,0,%0.00,
meclisi alınan ilçeler,AĞRI BELEDİYESİ,,52.325,,1.0,AK PARTI,4,,,,,
meclisi alınan ilçeler,AĞRI BELEDİYESİ,,92.095,,2.0,DEM PARTI,4,,,,,
il meclisi,AĞRI BELEDİYESİ,,92.095,,1.0,DEM PARTI,,,%46.19,99.099,%45.21,
il meclisi,AĞRI BELEDİYESİ,,52.325,,2.0,AK PARTI,,,%26.25,82.287,%37.54,
il meclisi,AĞRI BELEDİYESİ,,16.885,,3.0,YENIDEN REFAH,,,%8.47,0,%0.00,
il meclisi,AĞRI BELEDİYESİ,,12.161,,4.0,CHP,,,%6.10,9.055,%4.13,
il meclisi,AĞRI BELEDİYESİ,,4.602,,5.0,MHP,,,%2.31,5.845,%2.67,
il meclisi,AĞRI BELEDİYESİ,,3.875,,6.0,HÜDA PAR,,,%1.94,0,%0.00,
il meclisi,AĞRI BELEDİYESİ,,3.777,,7.0,İYI PARTI,,,%1.89,2.267,%1.03,
il meclisi,AĞRI BELEDİYESİ,,3.755,,8.0,DEVA PARTISI,,,%1.88,0,%0.00,
il meclisi,AĞRI BELEDİYESİ,,2.765,,9.0,SAADET,,,%1.39,13.721,%6.26,
il meclisi,AĞRI BELEDİYESİ,,1.474,,10.0,BTP,,,%0.74,0,%0.00,
il meclisi,AĞRI BELEDİYESİ,,1.468,,11.0,DP,,,%0.74,3.501,%1.60,
il meclisi,AĞRI BELEDİYESİ,,1.373,,12.0,BÜYÜK BIRLIK,,,%0.69,2.037,%0.93,
il meclisi,AĞRI BELEDİYESİ,,1.041,,13.0,ZAFER PARTISI,,,%0.52,0,%0.00,
il meclisi,AĞRI BELEDİYESİ,,834,,14.0,GELECEK PARTISI,,,%0.42,0,%0.00,
il meclisi,AĞRI BELEDİYESİ,,292,,15.0,SOL PARTI,,,%0.15,0,%0.00,
il meclisi,AĞRI BELEDİYESİ,,270,,16.0,TKH,,,%0.14,0,%0.00,
ilce,AĞRI BELEDİYESİ,,25.374,,1.0,DEM PARTI,,HAZAL ARAS,%51.07,,,MERKEZ
ilce,AĞRI BELEDİYESİ,,4.079,,2.0,DEM PARTI,,ADNAN DOĞAN,%57.43,,,DİYADİN
ilce,AĞRI BELEDİYESİ,,15.814,,3.0,DEM PARTI,,KENAN ALKAN,%57.99,,,DOĞUBAYAZIT
ilce,AĞRI BELEDİYESİ,,2.146,,4.0,AK PARTI,,RAMAZAN YAKUT,%47.78,,,ELEŞKİRT
ilce,AĞRI BELEDİYESİ,,808,,5.0,YENIDEN REFAH,,İSMET ASLAN,%47.50,,,HAMUR
ilce,AĞRI BELEDİYESİ,,8.357,,6.0,AK PARTI,,ABDULHALIK TAŞKIN,%38.15,,,PATNOS
ilce,AĞRI BELEDİYESİ,,1.918,,7.0,DEM PARTI,,MEHMETALİ BUDAK,%55.24,,,TAŞLIÇAY
ilce,AĞRI BELEDİYESİ,,910,,8.0,AK PARTI,,FEVZİ SAYAN,%26.22,,,TUTAK
şehir,AKSARAY BELEDİYESİ,167.353,121.328,116.051,,,,,,,,
